2022-03-16 10:32:14,407 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-16 10:32:18,493 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 10:32:18,493 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 10:32:19,126 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:32:22,072 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:32:29,047 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.268,0.351,0.856,0.2,0.3,0.2,0.462,1.339,0.985,0.27
2022-03-16 10:32:30,173 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.610,0.323,0.825,0.9,0.5,0.2,0.470,1.346,0.976,0.28
2022-03-16 10:35:12,130 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.610,0.323,0.825,0.9,0.5,0.2,0.470,1.346,0.976,0.28
2022-03-16 10:35:13,285 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.53,0.13,-1.925,0.17,0.28,0.16,0.562,1.704,1.211,0.28
2022-03-16 10:35:42,988 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 10:36:13,714 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:36:16,796 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:36:30,236 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.166,0.116,0.941,0.2,0.0,0.0,1.120,1.116,1.565,0.28
2022-03-16 10:36:31,377 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.467,0.87,-1.492,0.71,0.44,0.64,1.58,1.251,1.559,0.28
2022-03-16 10:37:55,281 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 11:58:14,738 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 11:58:14,748 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 11:58:14,751 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-16 11:58:18,754 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 11:58:18,755 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 11:58:20,581 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 11:58:24,415 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 12:09:12,695 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 12:09:12,704 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 12:09:12,708 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-15' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-16 12:09:22,877 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 12:09:22,878 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 12:09:23,461 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 12:09:59,149 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 12:10:03,993 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 12:13:28,569 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 14:48:16,791 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 14:48:16,796 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 14:48:16,797 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-16 14:49:15,327 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 14:49:15,328 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 14:49:16,115 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 14:49:26,465 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 14:49:46,076 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 14:49:55,761 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 14:49:59,914 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 15:58:02,163 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 16:23:49,792 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 16:23:49,802 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 16:23:49,803 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-16 16:23:54,227 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 16:23:54,227 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 16:23:56,240 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:24:17,404 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:24:21,104 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 16:25:07,443 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
