2022-05-18 16:19:34,789 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:19:34,789 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:19:34,789 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:19:34,790 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:19:34,790 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:19:34,790 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:20:08,596 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:22:19,209 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:22:28,438 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:25:36,093 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:25:36,094 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:25:36,130 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:25:48,809 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:25:48,815 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:25:48,815 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:25:48,816 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:25:48,816 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:25:48,816 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:25:48,816 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:26:06,653 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:26:52,815 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:26:58,057 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:26:58,058 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:26:58,099 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:27:42,232 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:27:42,239 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:28:07,090 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:29:32,043 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:29:32,043 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:29:32,086 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:29:40,448 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:29:40,449 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:29:40,449 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:29:40,450 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:29:40,450 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:29:40,450 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:29:40,450 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:29:58,394 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:33:58,768 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:33:58,769 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:33:58,812 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:35:19,412 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:35:19,419 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:35:40,552 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:35:40,552 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:35:40,606 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:35:49,636 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:35:49,638 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:36:08,732 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:42:32,120 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:42:32,126 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:42:32,169 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:42:32,250 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:42:41,294 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:42:41,301 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:42:41,301 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:42:41,301 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:42:41,302 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:42:41,302 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:42:41,302 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:43:09,668 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:44:22,302 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:44:22,303 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:44:29,808 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:44:29,809 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:44:29,809 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:44:29,809 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:44:29,809 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:44:29,810 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:44:29,810 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:44:44,761 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:46:28,353 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
